url,property_id,address
https://immovlan.be/en/real-estate/apartment/for-sale/antwerp,antwerp,None
https://immovlan.be/en/detail/studio/for-sale/2000/antwerp/rbu28951,rbu28951,Itali?lei 84 2000 Antwerp
https://immovlan.be/en/real-estate/apartment/for-sale/borgerhout,borgerhout,None
https://immovlan.be/en/real-estate/apartment/for-sale/antwerp,antwerp,None
https://immovlan.be/en/real-estate/apartment/for-sale/antwerp,antwerp,None
https://immovlan.be/en/real-estate/apartment/for-sale/antwerp,antwerp,None
https://immovlan.be/en/real-estate/apartment/for-sale/deurne,deurne,None
https://immovlan.be/en/real-estate/apartment/for-sale/deurne,deurne,None
https://immovlan.be/en/real-estate/apartment/for-sale/borgerhout,borgerhout,None
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu28108,rbu28108,Gijsbrecht van Deurnelaan 55 3 2100 Deurne
https://immovlan.be/en/real-estate/apartment/for-sale/borgerhout,borgerhout,None
https://immovlan.be/en/real-estate/apartment/for-sale/borgerhout,borgerhout,None
https://immovlan.be/en/real-estate/apartment/for-sale/borgerhout,borgerhout,None
https://immovlan.be/en/detail/apartment/for-sale/2020/antwerp/rbu28635,rbu28635,Volhardingstraat 56 2020 Antwerp
https://immovlan.be/en/real-estate/apartment/for-sale/borgerhout,borgerhout,None
https://immovlan.be/en/real-estate/apartment/for-sale/borgerhout,borgerhout,None
https://immovlan.be/en/real-estate/apartment/for-sale/antwerp,antwerp,None
https://immovlan.be/en/real-estate/apartment/for-sale/hoboken,hoboken,None
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu28081,rbu28081,Dascottelei 59-61 2V 2100 Deurne
https://immovlan.be/en/real-estate/apartment/for-sale/berchem,berchem,None
https://immovlan.be/en/real-estate/apartment/for-sale/borgerhout,borgerhout,None
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu28640,rbu28640,Lakborslei 145 1 2100 Deurne
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu28092,rbu28092,Cornelis Dyckstratelaan 14 3V 2100 Deurne
https://immovlan.be/en/detail/apartment/for-sale/2170/merksem/rbu28087,rbu28087,Victor Govaerslaan 27 V7 2170 Merksem
https://immovlan.be/en/real-estate/apartment/for-sale/antwerp,antwerp,None
https://immovlan.be/en/real-estate/apartment/for-sale/antwerp,antwerp,None
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu28888,rbu28888,Wouter Haecklaan 14 A062 2100 Deurne
https://immovlan.be/en/real-estate/apartment/for-sale/borgerhout,borgerhout,None
https://immovlan.be/en/detail/apartment/for-sale/2610/wilrijk/rbu32292,rbu32292,Prins Boudewijnlaan 156 6 2610 Wilrijk
https://immovlan.be/en/real-estate/apartment/for-sale/antwerp,antwerp,None
https://immovlan.be/en/real-estate/apartment/for-sale/deurne,deurne,None
https://immovlan.be/en/detail/apartment/for-sale/2610/wilrijk/rbu32293,rbu32293,Auditoriumlaan 2 4 2610 Wilrijk
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu28079,rbu28079,August Van de Wielelei 91 4 2100 Deurne
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rwc39433,rwc39433,Ter heydelaan 334 2 2100 Deurne
https://immovlan.be/en/detail/apartment/for-sale/2050/antwerp/rbu32134,rbu32134,August Vermeylenlaan 23 2050 Antwerp
https://immovlan.be/en/real-estate/apartment/for-sale/borgerhout,borgerhout,None
https://immovlan.be/en/detail/apartment/for-sale/2170/merksem/rbu32064,rbu32064,Groenendaallaan 22 V2 2170 Merksem
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbu32052,rbu32052,Lange Scholiersstraat 3 2 2000 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbu32056,rbu32056,Italiëlei 187 101 2000 Antwerp
https://immovlan.be/en/detail/ground-floor/for-sale/2660/hoboken/rbu32053,rbu32053,Commandant Van Laethemstraat 42 2 2660 Hoboken
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu32043,rbu32043,Jan Welterslaan 28 101 2100 Deurne
https://immovlan.be/en/detail/studio/for-sale/2018/antwerp/rbu31081,rbu31081,Doornelei 2 504 2018 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2050/antwerp/rbu31722,rbu31722,Blancefloerlaan 323 302 2050 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbu31706,rbu31706,Frankrijklei 54 201 2000 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2600/berchem/rbu31705,rbu31705,Potvlietlaan 10 15 2600 Berchem
https://immovlan.be/en/real-estate/apartment/for-sale/antwerp,antwerp,None
https://immovlan.be/en/detail/apartment/for-sale/2600/berchem/rbu30788,rbu30788,Fruithoflaan 120 0902 2600 Berchem
https://immovlan.be/en/detail/apartment/for-sale/2660/hoboken/rbu30787,rbu30787,Frieslandstraat 17 12 2660 Hoboken
https://immovlan.be/en/detail/studio/for-sale/2018/antwerp/rbu31082,rbu31082,Doornelei 2 502 2018 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rwc40927,rwc40927,Britselei 45 2000 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbu45337,rbu45337,Otto Veniusstraat 17 42 2000 Antwerp
